Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Asymmetric Cape,asymmetric-cape,"A versatile top designed to be styled in multiple ways.",Moi,,,,TRUE,active,ASYM-CAPE-BROWN-ONESIZE,,Title,Default Title,,,,,,,,1690,2190,,TRUE,,,,,,shopify,0,DENY,0,g,TRUE,manual,https://static.e-stradivarius.net/assets/public/6609/3c52/c7794a08bf4d/3e85295c5fe2/02076511400-a15/02076511400-a15.jpg?ts=1773676013508&w=800,1,Asymmetric Cape in Brown,,FALSE,Asymmetric Cape,"A versatile top designed to be styled in multiple ways.",Brown,Apparel & Accessories > Clothing > Shirts & Tops,Unisex,Adult (13+ years old),02076511400,Moi,Editorial,New,FALSE,Top Seller,,,,
Moi Versa Top,moi-versa-top,"A versatile top designed to be styled in multiple ways.",Moi,,,,TRUE,active,MOI-VERSA-BROWN-ONESIZE,,Title,Default Title,,,,,,,,1690,2190,,TRUE,,,,,,shopify,0,DENY,0,g,TRUE,manual,https://static.e-stradivarius.net/assets/public/6609/3c52/c7794a08bf4d/3e85295c5fe2/02076511400-a15/02076511400-a15.jpg?ts=1773676013508&w=800,1,Moi Versa Top in Brown,,FALSE,Moi Versa Top,"A versatile top designed to be styled in multiple ways.",Brown,Apparel & Accessories > Clothing > Shirts & Tops,Unisex,Adult (13+ years old),02076511400,Moi,Editorial,New,FALSE,Top Seller,,,,
